NAMESPACE       NAME                                 TYPE           CLUSTER-IP     EXTERNAL-IP     PORT(S)                      AGE
cert-manager    cert-manager                         ClusterIP      10.0.63.164    <none>          9402/TCP                     15d
cert-manager    cert-manager-webhook                 ClusterIP      10.0.82.107    <none>          443/TCP                      15d
default         backend                              ClusterIP      10.0.82.133    <none>          8080/TCP                     15d
default         kubernetes                           ClusterIP      10.0.0.1       <none>          443/TCP                      15d
default         ollama                               ClusterIP      10.0.113.225   <none>          11434/TCP                    15d
default         postgres                             ClusterIP      None           <none>          5432/TCP                     15d
default         postgres-external                    LoadBalancer   10.0.38.183    20.75.144.138   5432:31195/TCP               13d
ingress-nginx   ingress-nginx-controller             LoadBalancer   10.0.64.136    20.62.217.136   80:31008/TCP,443:30874/TCP   15d
ingress-nginx   ingress-nginx-controller-admission   ClusterIP      10.0.251.13    <none>          443/TCP                      15d
kube-system     kube-dns                             ClusterIP      10.0.0.10      <none>          53/UDP,53/TCP                15d
kube-system     metrics-server                       ClusterIP      10.0.25.20     <none>          443/TCP                      15d
